,fr_w,nmot_w,rl_w,nearest_rpm,nearest_load,weight
2807,1.01212,1829.0,49.5703,1750.0,47.5,0.012184675820607454
2808,0.95279,1872.0,49.7813,1750.0,47.5,0.007982037223432388
2809,0.95926,1957.75,51.7734,1750.0,47.5,0.00469431996672666
2810,0.969178,2019.0,53.3203,2250.0,47.5,0.004204855514857226
2811,0.973969,2079.5,53.6953,2250.0,47.5,0.0056276108597132285
2812,0.981049,2138.25,54.7969,2250.0,60.0,0.008477945895444884
2813,0.984406,2167.25,56.4844,2250.0,60.0,0.011459269173649181
2814,1.02322,2185.0,59.5547,2250.0,60.0,0.015049973436796883
2815,1.02408,2242.0,61.7344,2250.0,60.0,0.0931584438813534
2816,1.02658,2292.75,62.4609,2250.0,60.0,0.021639916123685102
2817,1.02698,2364.75,63.3984,2250.0,60.0,0.008392894910884241
2818,1.02295,2434.25,63.8906,2500.0,60.0,0.014156165151485121
2819,1.02411,2507.5,64.7578,2500.0,60.0,0.07542729562974247
2820,0.985749,2555.75,65.1328,2500.0,70.0,0.016229234694208762
2821,0.984345,2598.75,66.0,2500.0,70.0,0.00963855421686747
2822,0.981019,2651.25,66.9609,2500.0,70.0,0.006439602006837569
2823,0.97873,2697.75,66.7031,2500.0,70.0,0.0049493459191900496
2824,0.972047,2765.75,64.3828,3000.0,60.0,0.0041730514353627715
2825,0.964875,2819.75,62.6953,3000.0,60.0,0.005436398755499597
2826,0.99054,2879.25,61.4766,3000.0,60.0,0.00811513098632925
2827,0.983521,2926.5,59.9766,3000.0,60.0,0.01341860408945378
2828,0.977204,2967.0,59.0156,3000.0,60.0,0.028584168943872126
2829,0.971192,2991.5,57.2813,3000.0,60.0,0.08184176712743582
2830,1.0,2871.5,48.5156,3000.0,47.5,0.007661919341442708
2831,1.0,2800.5,34.4531,3000.0,35.0,0.004973963786559256
2832,1.0,2750.0,23.625,2500.0,25.0,0.00396235760277365
2833,1.0,2735.5,18.9375,2500.0,17.5,0.0042027843446283165
2834,1.0,2675.0,15.9141,2500.0,17.5,0.0056310776925420315
2835,1.0,2589.0,14.4844,2500.0,12.5,0.010871408630159028
2836,1.0,2521.0,14.0391,2500.0,12.5,0.04248250782740207
2837,1.0,2424.5,15.2109,2500.0,17.5,0.01269211096458774
2838,1.0,2364.5,15.0,2250.0,12.5,0.00847457627118644
2839,1.0,2304.5,16.2656,2250.0,17.5,0.017625990580670634
2840,1.10227,2227.0,17.1563,2250.0,17.5,0.04107838989142982
2841,1.17697,2172.25,16.7813,2250.0,17.5,0.012583570638502958
2842,1.25,2143.75,15.9844,2250.0,17.5,0.00919408342343535
2843,1.25,2089.5,15.6094,2250.0,17.5,0.006120303126373243
